species,scheme,threshold_source,source_url,retrieved_at,fallback_used
Burkholderia stagnalis,qualibact-v1.0,QualiBact Burkholderia stagnalis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Burkholderia ubonensis,qualibact-v1.0,QualiBact Burkholderia ubonensis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Burkholderia vietnamiensis,qualibact-v1.0,QualiBact Burkholderia vietnamiensis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Campylobacter coli,qualibact-v1.1,QualiBact Campylobacter coli qualibact-v1.1,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,False
Campylobacter concheus,qualibact-v1.0,QualiBact Campylobacter concheus qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Campylobacter fetus,qualibact-v1.1,QualiBact Campylobacter fetus qualibact-v1.1,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,False
Campylobacter hyointestinalis,qualibact-v1.0,QualiBact Campylobacter hyointestinalis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Campylobacter jejuni,qualibact-v1.1,QualiBact Campylobacter jejuni qualibact-v1.1,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,False
Campylobacter lari,qualibact-v1.0,QualiBact Campylobacter lari qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Campylobacter upsaliensis,qualibact-v1.0,QualiBact Campylobacter upsaliensis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Caulobacter vibrioides,qualibact-v1.0,QualiBact Caulobacter vibrioides qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Chlamydia trachomatis,qualibact-v1.0,QualiBact Chlamydia trachomatis qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
Citrobacter amalonaticus,qualibact-v1.0,QualiBact Citrobacter amalonaticus qualibact-v1.0,https://raw.githubusercontent.com/cgps-group/qualibact/52ce95333b12510cacad83bd05d3397c467a6b7b/public/api/v2/thresholds.csv,2026-07-13T13:01:09.408008+00:00,True
